Date,Open,High,Low,Close,Adj Close,Volume
1998-01-01,29.250000,30.687500,28.937500,58.500000,17.967899,15631400
1998-01-08,29.218750,29.593750,26.937500,56.562500,17.372812,17225600
1998-01-15,28.093750,29.250000,27.312500,58.187500,17.871923,8987000
1998-01-22,28.687500,28.937500,26.500000,57.437500,17.704163,16993000
1998-01-29,28.718750,30.843750,28.531250,61.250000,18.879309,13811000
1998-02-05,30.718750,31.218750,30.093750,61.437500,18.937094,11418600
1998-02-12,31.312500,33.500000,31.281250,66.750000,20.574604,15562400
1998-02-19,33.312500,35.687500,33.218750,70.500000,21.730461,11600600
1998-02-26,35.250000,35.718750,34.375000,69.812500,21.518553,10331200
1998-03-05,34.500000,37.406250,34.343750,73.875000,22.770750,11951800
1998-03-12,36.812500,38.937500,36.750000,77.375000,23.849573,15452400
1998-03-19,38.687500,38.937500,37.093750,75.687500,23.329422,11380800
1998-03-26,37.843750,37.843750,36.062500,72.875000,22.462517,12889600
1998-04-02,36.625000,40.937500,36.593750,81.062500,24.986177,26795400
1998-04-09,40.812500,42.437500,40.375000,82.000000,25.275160,13678200
1998-04-16,40.906250,41.781250,39.750000,80.687500,24.931166,10056000
1998-04-23,40.218750,40.375000,37.000000,76.687500,23.695223,15616400
1998-04-30,38.812500,40.125000,37.625000,75.312500,23.270384,10449200
1998-05-07,37.656250,38.562500,36.781250,74.687500,23.077267,9513200
1998-05-14,37.437500,39.625000,37.281250,78.875000,24.371138,9869800
1998-05-21,39.625000,40.562500,37.312500,76.250000,23.560055,10301200
1998-05-28,38.125000,40.125000,37.687500,78.562500,24.274584,10689600
1998-06-04,39.406250,41.437500,39.218750,80.625000,24.911854,10135400
1998-06-11,40.281250,40.781250,37.500000,78.937500,24.390446,10871400
1998-06-18,39.406250,43.500000,39.000000,86.625000,26.765770,14499600
1998-06-25,43.468750,45.687500,43.093750,90.125000,27.847206,16908800
1998-07-02,45.000000,46.218750,44.500000,92.062500,28.445868,10164000
1998-07-09,45.812500,47.937500,44.625000,94.500000,29.199024,10326800
1998-07-16,47.125000,48.750000,45.906250,92.812500,28.738821,10301800
1998-07-23,46.187500,46.500000,43.343750,87.625000,27.132547,12501800
1998-07-30,44.312500,44.656250,39.687500,82.437500,25.526285,17032200
1998-08-06,41.062500,43.968750,38.812500,80.250000,24.848944,15571400
1998-08-13,40.125000,42.562500,37.812500,82.812500,25.642395,14934400
1998-08-20,41.156250,41.343750,37.656250,76.062500,23.552292,15259400
1998-08-27,37.250000,37.250000,24.750000,59.000000,18.268995,42928000
1998-09-03,28.375000,28.375000,24.500000,50.062500,15.501559,35747200
1998-09-10,24.125000,30.718750,23.000000,60.562500,18.752817,38570200
1998-09-17,28.125000,28.937500,25.437500,57.250000,17.727129,29981600
1998-09-24,28.937500,28.937500,20.750000,43.125000,13.353396,58138800
1998-10-01,20.656250,22.250000,18.875000,38.437500,11.901941,54747400
1998-10-08,18.750000,24.625000,18.250000,48.562500,15.037091,56026600
1998-10-15,24.406250,30.343750,24.250000,55.437500,17.240547,43394600
1998-10-22,27.718750,30.250000,27.437500,59.500000,18.503941,30364800
1998-10-29,30.062500,33.093750,29.812500,62.437500,19.417477,31392200
1998-11-05,31.000000,32.937500,29.625000,59.500000,18.503941,21665000
1998-11-12,29.687500,34.218750,28.750000,65.312500,20.311577,25697600
1998-11-19,32.531250,38.375000,32.406250,71.500000,22.235832,24589000
1998-11-26,36.312500,37.687500,33.062500,68.000000,21.147358,15330800
1998-12-03,34.031250,35.406250,32.750000,67.000000,20.836378,20199600
1998-12-10,33.500000,33.968750,31.156250,66.250000,20.603132,17868800
1998-12-17,33.937500,38.718750,33.937500,77.062500,23.965729,18122800
1998-12-24,38.531250,39.656250,36.281250,73.187500,22.760626,7823800
1998-12-31,36.343750,40.750000,35.406250,80.687500,25.093058,20877200
1999-01-07,41.500000,44.406250,37.906250,82.312500,25.598413,36185200
1999-01-14,41.031250,44.437500,40.125000,87.500000,27.211679,18737200
1999-01-21,42.750000,43.406250,40.500000,81.750000,25.497828,17140400
1999-01-28,40.937500,47.500000,40.500000,91.750000,28.616812,32270200
1999-02-04,46.187500,46.218750,42.125000,84.687500,26.414038,17781600
1999-02-11,42.687500,46.062500,42.687500,88.375000,27.564163,14298200
1999-02-18,44.187500,48.937500,43.812500,89.750000,27.993038,23076200
1999-02-25,44.937500,46.656250,43.781250,92.812500,28.948221,24614000
1999-03-04,47.250000,50.156250,46.906250,99.062500,30.897598,22732800
1999-03-11,50.000000,52.093750,49.562500,99.437500,31.014570,22101400
1999-03-18,49.750000,52.406250,47.750000,98.375000,30.683170,20978800
